epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,21894.6,0.4926,0.93014,0.57817,1.0564,0.95449,0.95412,0.98122,0.90075,0.95449,0.95412,0.98122,0.85126,0.4072,0.76204,0.32844,1.01864,0.00740125,0.00740125,0.00740125
107,22096.3,0.48954,0.91615,0.56125,1.05974,0.94744,0.94398,0.96941,0.89364,0.94744,0.94398,0.96941,0.84478,0.40649,0.76486,0.35684,1.0271,0.0073765,0.0073765,0.0073765
108,22300.4,0.48621,0.92895,0.57525,1.05194,0.95498,0.95201,0.98307,0.90447,0.95498,0.95201,0.98307,0.85543,0.40294,0.77367,0.32068,1.01578,0.00735175,0.00735175,0.00735175
109,22504.5,0.49743,0.93994,0.57917,1.06621,0.96002,0.94273,0.98221,0.90936,0.96002,0.94273,0.98221,0.85778,0.40488,0.76915,0.33293,1.01899,0.007327,0.007327,0.007327
110,22710,0.49066,0.9313,0.56964,1.05869,0.95037,0.96957,0.98518,0.9071,0.95037,0.96957,0.98518,0.86208,0.40874,0.75562,0.32455,1.00736,0.00730225,0.00730225,0.00730225
111,22918,0.49425,0.93416,0.56782,1.05739,0.92793,0.9725,0.98388,0.90279,0.92793,0.9725,0.98388,0.85208,0.40796,0.75529,0.32684,1.00543,0.0072775,0.0072775,0.0072775
112,23120.4,0.48913,0.91513,0.56308,1.05446,0.94626,0.96869,0.98661,0.91233,0.94626,0.96869,0.98661,0.85892,0.39314,0.76132,0.29799,0.99553,0.00725275,0.00725275,0.00725275
113,23323.7,0.4905,0.93569,0.56947,1.0563,0.95715,0.96168,0.98414,0.91043,0.95715,0.96168,0.98414,0.85749,0.39659,0.76035,0.3182,0.99536,0.007228,0.007228,0.007228
114,23530.3,0.48449,0.92848,0.56437,1.04865,0.95692,0.95808,0.98796,0.91082,0.95692,0.95808,0.98796,0.85845,0.40285,0.76999,0.30398,1.01334,0.00720325,0.00720325,0.00720325
115,23737.4,0.48508,0.92467,0.55613,1.05812,0.94467,0.96846,0.98595,0.9065,0.94467,0.96846,0.98595,0.8547,0.41626,0.78217,0.32031,1.01645,0.0071785,0.0071785,0.0071785
116,23947.6,0.48861,0.93007,0.55688,1.0535,0.95989,0.95342,0.98626,0.91124,0.95989,0.95342,0.98626,0.86073,0.40863,0.7626,0.32086,1.01359,0.00715375,0.00715375,0.00715375
117,24149.3,0.49039,0.9221,0.55727,1.05169,0.93201,0.96547,0.98064,0.90946,0.93201,0.96547,0.98064,0.85416,0.39561,0.78276,0.32815,1.00282,0.007129,0.007129,0.007129
118,24351.9,0.47916,0.89211,0.55527,1.04869,0.94559,0.9586,0.98159,0.90706,0.94287,0.95586,0.97948,0.85374,0.39708,0.76449,0.33745,1.01193,0.00710425,0.00710425,0.00710425
